Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,CustomerSegment,CPU_family,GPU_family,y_true,p_high,pred
North America,Samsung,Desktop,i7,AMD Radeon Vega,16,512,macOS,Gray,Reseller,Credit Card,Enterprise,i7,AMD Radeon Vega,1,0.3775,1
Europe,Dell,Desktop,i5,NVIDIA RTX 3060,32,1024,macOS,Gray,Online,Debit Card,Student,i5,RTX 3060,0,0.4475,1
Europe,Razer,Desktop,i3,AMD Radeon Vega,16,1024,macOS,Gray,Online,Credit Card,Student,i3,AMD Radeon Vega,1,0.5275,1
Europe,Lenovo,Laptop,i3,NVIDIA RTX 3060,16,512,macOS,White,Reseller,Credit Card,Professional,i3,RTX 3060,0,0.6075,1
North America,HP,Laptop,Ryzen 3,Intel Iris,32,512,Windows 10,White,Online,Debit Card,Gamer,Ryzen 3,Intel Iris,0,0.3225,0
Asia-Pacific,Samsung,Desktop,i9,NVIDIA GTX 1650,32,256,Windows 11,Silver,Reseller,Bank Transfer,Enterprise,i9,GTX 1650,1,0.405,1
Europe,MSI,Gaming Laptop,Ryzen 5,Intel UHD,32,256,macOS,Gray,Online,PayPal,Professional,Ryzen 5,Intel UHD,0,0.435,1
Europe,Asus,Laptop,Ryzen 9,AMD Radeon Vega,8,1024,Windows 10,Black,Online,Bank Transfer,Student,Ryzen 9,AMD Radeon Vega,1,0.3675,1
Asia-Pacific,Acer,Laptop,Ryzen 9,Intel Iris,4,256,Windows 10,Blue,Retail Store,PayPal,Gamer,Ryzen 9,Intel Iris,0,0.3675,1
Europe,Acer,Desktop,M2,Intel UHD,8,2048,macOS,Gray,Retail Store,PayPal,Enterprise,M2,Intel UHD,1,0.3275,0
Asia-Pacific,MSI,Desktop,i7,NVIDIA RTX 2060,8,512,macOS,White,Online,Bank Transfer,Professional,i7,RTX 2060,0,0.4075,1
Asia-Pacific,Dell,Laptop,Ryzen 5,AMD Radeon Vega,16,2048,Windows 11,Black,Retail Store,Bank Transfer,Enterprise,Ryzen 5,AMD Radeon Vega,0,0.4875,1
Europe,MSI,All-in-One,Ryzen 5,Intel Iris,32,256,Windows 10,Blue,Online,Credit Card,Student,Ryzen 5,Intel Iris,1,0.505,1
Europe,Acer,Desktop,Ryzen 9,Intel UHD,16,1024,Windows 10,Black,Reseller,Bank Transfer,Gamer,Ryzen 9,Intel UHD,1,0.4075,1
Europe,MSI,Gaming Laptop,i9,AMD Radeon Vega,4,256,Windows 11,Silver,Reseller,Credit Card,Professional,i9,AMD Radeon Vega,0,0.425,1
North America,Lenovo,Gaming Laptop,Ryzen 3,Intel Iris,32,2048,Windows 10,Gray,Reseller,Debit Card,Professional,Ryzen 3,Intel Iris,0,0.4125,1
Asia-Pacific,Dell,Desktop,i3,Intel UHD,4,2048,Windows 11,Silver,Retail Store,Credit Card,Student,i3,Intel UHD,0,0.375,1
Europe,MSI,All-in-One,M1,Intel Iris,8,2048,macOS,Gray,Retail Store,Credit Card,Professional,M1,Intel Iris,1,0.3925,1
North America,Dell,Desktop,Ryzen 9,AMD Radeon Vega,8,256,Linux,Gray,Reseller,Credit Card,Enterprise,Ryzen 9,AMD Radeon Vega,0,0.32,0
North America,MSI,Laptop,M2,NVIDIA RTX 2060,4,256,Windows 11,Silver,Online,Bank Transfer,Professional,M2,RTX 2060,0,0.3725,1
Asia-Pacific,Lenovo,All-in-One,i7,NVIDIA GTX 1650,32,2048,macOS,White,Online,Bank Transfer,Gamer,i7,GTX 1650,1,0.4325,1
Europe,MSI,Laptop,Ryzen 5,NVIDIA RTX 3060,8,2048,Windows 10,Silver,Online,Credit Card,Gamer,Ryzen 5,RTX 3060,0,0.3525,1
Europe,Razer,Desktop,M2,Intel UHD,8,1024,macOS,White,Retail Store,PayPal,Gamer,M2,Intel UHD,0,0.2875,0
North America,Microsoft,Gaming Laptop,Ryzen 7,NVIDIA RTX 3060,32,2048,macOS,White,Retail Store,PayPal,Enterprise,Ryzen 7,RTX 3060,1,0.36,1
North America,Dell,All-in-One,M2,Intel UHD,32,1024,Linux,Blue,Online,Bank Transfer,Gamer,M2,Intel UHD,0,0.4525,1
Asia-Pacific,MSI,Gaming Laptop,i9,NVIDIA RTX 2060,32,256,Windows 11,Blue,Online,Debit Card,Professional,i9,RTX 2060,1,0.415,1
Asia-Pacific,Lenovo,All-in-One,i7,Intel Iris,4,1024,Windows 10,Blue,Online,Bank Transfer,Enterprise,i7,Intel Iris,0,0.33,0
North America,Microsoft,Gaming Laptop,i5,NVIDIA GTX 1650,32,2048,macOS,Black,Online,Bank Transfer,Professional,i5,GTX 1650,1,0.48,1
North America,Razer,Desktop,M2,AMD Radeon Vega,4,2048,Windows 11,Black,Retail Store,Credit Card,Student,M2,AMD Radeon Vega,1,0.565,1
Asia-Pacific,MSI,Laptop,Ryzen 7,NVIDIA GTX 1650,4,1024,Windows 10,White,Reseller,Credit Card,Professional,Ryzen 7,GTX 1650,1,0.3475,0
Europe,Razer,Laptop,i3,Intel UHD,32,1024,Linux,Silver,Online,Bank Transfer,Gamer,i3,Intel UHD,1,0.2775,0
Europe,Lenovo,Desktop,M1,Intel UHD,8,1024,macOS,White,Retail Store,Debit Card,Professional,M1,Intel UHD,1,0.2825,0
North America,Samsung,Desktop,M1,AMD Radeon Vega,16,1024,Windows 11,Black,Online,Debit Card,Student,M1,AMD Radeon Vega,0,0.4475,1
North America,Samsung,Desktop,Ryzen 7,NVIDIA RTX 2060,32,256,Windows 10,Gray,Online,Credit Card,Student,Ryzen 7,RTX 2060,0,0.27,0
Asia-Pacific,Acer,Desktop,M1,Intel UHD,4,512,macOS,Black,Reseller,Debit Card,Gamer,M1,Intel UHD,0,0.39,1
Europe,MSI,Gaming Laptop,Ryzen 9,Intel Iris,16,2048,macOS,Blue,Online,Bank Transfer,Professional,Ryzen 9,Intel Iris,0,0.3225,0
Europe,Razer,Gaming Laptop,i7,NVIDIA GTX 1650,16,256,Windows 10,Blue,Reseller,Bank Transfer,Gamer,i7,GTX 1650,0,0.3,0
Europe,MSI,Gaming Laptop,i5,AMD Radeon Vega,32,2048,Windows 10,Blue,Retail Store,PayPal,Student,i5,AMD Radeon Vega,0,0.3975,1
Europe,Acer,Laptop,Ryzen 5,Intel UHD,8,256,macOS,Black,Reseller,Credit Card,Professional,Ryzen 5,Intel UHD,1,0.3725,1
North America,Acer,Laptop,i9,NVIDIA RTX 3060,8,512,Windows 11,White,Online,Credit Card,Gamer,i9,RTX 3060,1,0.2925,0
North America,MSI,Gaming Laptop,i5,NVIDIA GTX 1650,8,256,Linux,White,Retail Store,PayPal,Gamer,i5,GTX 1650,1,0.305,0
Asia-Pacific,Razer,Gaming Laptop,M1,NVIDIA RTX 3060,16,1024,macOS,Silver,Reseller,PayPal,Professional,M1,RTX 3060,0,0.47,1
Europe,Acer,Desktop,M1,Intel Iris,4,2048,Linux,Silver,Retail Store,Debit Card,Professional,M1,Intel Iris,0,0.39,1
Europe,Microsoft,Laptop,i5,AMD Radeon Vega,32,2048,Windows 11,Black,Reseller,Debit Card,Gamer,i5,AMD Radeon Vega,1,0.54,1
North America,HP,Desktop,Ryzen 5,NVIDIA RTX 3060,4,1024,Linux,Gray,Reseller,Bank Transfer,Enterprise,Ryzen 5,RTX 3060,0,0.2375,0
Asia-Pacific,Razer,Laptop,Ryzen 9,AMD Radeon Vega,16,512,Windows 11,Blue,Reseller,Credit Card,Gamer,Ryzen 9,AMD Radeon Vega,1,0.4425,1
Europe,Microsoft,All-in-One,i9,NVIDIA RTX 3060,8,512,Windows 11,White,Retail Store,Bank Transfer,Gamer,i9,RTX 3060,1,0.43,1
Europe,Razer,Desktop,Ryzen 7,NVIDIA RTX 3060,32,2048,Windows 11,Black,Retail Store,Bank Transfer,Enterprise,Ryzen 7,RTX 3060,1,0.35,1
Europe,HP,Desktop,i3,Intel UHD,8,2048,Windows 10,Blue,Retail Store,Bank Transfer,Professional,i3,Intel UHD,1,0.4925,1
Europe,Samsung,Desktop,Ryzen 9,NVIDIA GTX 1650,32,1024,Windows 10,Silver,Retail Store,Debit Card,Enterprise,Ryzen 9,GTX 1650,1,0.3525,1
Europe,Apple,Gaming Laptop,i3,NVIDIA RTX 2060,8,512,macOS,Blue,Retail Store,Credit Card,Gamer,i3,RTX 2060,0,0.4525,1
Europe,Asus,Desktop,i5,Intel UHD,4,512,macOS,White,Reseller,Debit Card,Enterprise,i5,Intel UHD,0,0.39,1
North America,Razer,Desktop,i5,Intel UHD,8,512,macOS,White,Reseller,Bank Transfer,Student,i5,Intel UHD,0,0.4275,1
North America,HP,Desktop,M1,NVIDIA RTX 2060,32,256,Linux,Black,Reseller,Bank Transfer,Enterprise,M1,RTX 2060,0,0.3725,1
North America,MSI,Gaming Laptop,i7,NVIDIA RTX 2060,4,256,Linux,Black,Reseller,PayPal,Professional,i7,RTX 2060,0,0.46,1
Asia-Pacific,HP,Gaming Laptop,M2,NVIDIA RTX 2060,32,512,Windows 10,White,Retail Store,Bank Transfer,Student,M2,RTX 2060,1,0.3275,0
Europe,Apple,Desktop,M1,AMD Radeon Vega,8,2048,macOS,Black,Online,Debit Card,Enterprise,M1,AMD Radeon Vega,0,0.4475,1
Europe,Dell,Gaming Laptop,i3,NVIDIA RTX 2060,8,1024,Windows 10,Gray,Online,Bank Transfer,Enterprise,i3,RTX 2060,0,0.3425,0
North America,Asus,Gaming Laptop,M1,Intel Iris,8,512,Windows 11,Gray,Online,PayPal,Student,M1,Intel Iris,1,0.4375,1
North America,Dell,All-in-One,i9,Intel UHD,8,2048,Linux,Silver,Reseller,Debit Card,Student,i9,Intel UHD,0,0.3475,0
