TransactionID,OrderDate,Region,Brand,Category,CPU,GPU,RAM_GB,Storage_GB,OS,Color,Channel,PaymentMethod,Price,DiscountPct,FinalPrice,Quantity,TotalAmount,CustomerSegment,Rating
1,2025-01-08,Asia-Pacific,Dell,Laptop,Ryzen 3,Intel Iris,8,256,Windows 11,Blue,Online,Credit Card,2159.42,20,1727.54,1,1727.54,Student,2
2,2023-08-06,North America,Samsung,Laptop,M1,Intel Iris,8,2048,Linux,Gray,Retail Store,Debit Card,1932.09,0,1932.09,1,1932.09,Professional,3
3,2023-03-22,North America,Dell,All-in-One,i5,NVIDIA GTX 1650,16,256,macOS,Black,Reseller,PayPal,2297.3,20,1837.84,1,1837.84,Enterprise,5
4,2023-02-07,North America,Dell,Laptop,i9,NVIDIA GTX 1650,8,256,Windows 10,Silver,Retail Store,PayPal,1388.33,15,1180.08,3,3540.24,Professional,3
5,2022-10-04,Asia-Pacific,Dell,Desktop,M1,AMD Radeon Vega,8,2048,Windows 11,Black,Online,Credit Card,1386.58,20,1109.26,1,1109.26,Enterprise,4
6,2022-04-02,Europe,Dell,Desktop,M2,AMD Radeon Vega,8,2048,macOS,Silver,Online,PayPal,1428.64,15,1214.34,1,1214.34,Gamer,5
7,2025-05-03,Europe,Apple,Desktop,i7,NVIDIA RTX 3060,32,256,macOS,Silver,Reseller,Bank Transfer,2365.03,0,2365.03,1,2365.03,Student,4
8,2022-06-30,Europe,Razer,All-in-One,M1,NVIDIA GTX 1650,4,1024,Windows 10,Blue,Online,Bank Transfer,2398.36,10,2158.52,1,2158.52,Student,3
9,2020-01-02,Asia-Pacific,HP,Laptop,Ryzen 3,AMD Radeon Vega,8,1024,Windows 11,White,Retail Store,Bank Transfer,2382.53,20,1906.02,3,5718.06,Student,1
10,2021-02-02,Europe,Acer,Desktop,i3,Intel Iris,4,2048,Windows 10,Blue,Reseller,Debit Card,2521.66,20,2017.33,1,2017.33,Enterprise,5
11,2024-05-27,Asia-Pacific,Microsoft,Desktop,M1,AMD Radeon Vega,16,2048,Windows 11,Blue,Online,Debit Card,2987.39,10,2688.65,2,5377.3,Professional,1
12,2020-08-08,Europe,Lenovo,Desktop,M2,Intel Iris,4,256,Windows 10,White,Online,PayPal,995.25,0,995.25,2,1990.5,Gamer,2
13,2023-08-09,Asia-Pacific,HP,All-in-One,i9,NVIDIA RTX 2060,8,256,Linux,Blue,Retail Store,Credit Card,652.02,15,554.22,2,1108.44,Student,1
14,2023-12-08,Europe,Apple,Laptop,i9,Intel Iris,8,2048,macOS,Silver,Online,Bank Transfer,764.47,5,726.25,2,1452.5,Student,1
15,2021-05-26,Asia-Pacific,Samsung,Laptop,i5,Intel Iris,32,2048,Windows 11,Blue,Online,Bank Transfer,1651.53,15,1403.8,1,1403.8,Enterprise,4
